test1	7282969127763836969
雍熙乐府	SBCK400	[{40014}] 郭勋  {辑}
白雪斋选订乐府吴骚合编	SBCK401	[{40014}] 张楚叔  {辑}
尚书正义	SBCK402	[{40008}] 孔颖达  {撰}
礼记正义	SBCK403	[{40008}] 孔颖达  {著}
周易郑康成注	SBCK404	[{40003-2}] 郑玄  {撰}、[{40010-2}] 王应麟  {辑}
诗本义	SBCK405	[{40010-1}] 欧阳修  {撰}
诗集传	SBCK406	[{40010-2}] 朱熹  {撰}
析城郑氏家塾重校新定三礼图	SBCK407	[{40009}] 聂崇义  {撰}
中庸说	SBCK408	[{40010-2}] 张九成  {著}
张状元孟子传	SBCK409	[{40010-2}] 张九成  {撰}
复古编	SBCK410	[{40010-1}] 张有  {著}
班马字类	SBCK411	[{40010-2}] 娄机  {撰}、[{40010-2}] 李曾伯  {补遗}
新唐书纠谬	SBCK412	[{40010-1}] 吴缜  {撰}
编年通载	SBCK413	[{40010-1}] 章衡  {著}
太宗皇帝实录	SBCK414	[{40010-1}] 钱若水  {撰}
元朝秘史	SBCK415	[{40013}] 佚名  {撰}
明史钞略	SBCK416	[{40015}] 庄廷砻  {撰}
罪惟录	SBCK417	[{40015}] 查继佐  {撰}
东山国语	SBCK418	[{40015}] 查继佐  {撰}
吊伐录	SBCK419	[{40012}] 佚名  {撰}
三辅黄图	SBCK420	[{40003}] 佚名  {撰}
天下郡国利病书	SBCK421	[{40015}] 顾炎武  {撰}
洛阳伽蓝记	SBCK422	[{40004-1}] 杨衒之  {撰}
三事忠告	SBCK423	[{40013}] 张养浩  {撰}
故唐律疏议	SBCK424	[{40010-2}] 长孙无忌  {撰}、[{40010-1}] 孙奭  {音义}
昭德先生郡斋读书志	SBCK425	[{40010-2}] 晁公武  {撰}
隶释	SBCK426	[{40010-2}] 洪适  {撰}
淳化秘阁法帖考正	SBCK427	[{40015}] 王澍  {撰}
潜虚	SBCK428	[{40010-1}] 司马光  {撰}
野菜博录	SBCK429	[{40014}] 鲍山  {撰}
图画考	SBCK430	[{40013}] 盛熙明  {撰}
独断	SBCK431	[{40003-2}] 蔡邕  {撰}
古今注	SBCK432	[{40005}] 崔豹  {撰}
困学纪闻	SBCK433	[{40010-2}] 王应麟  {撰}
墨庄漫录	SBCK434	[{40010-1}] 张邦基  {撰}
小字录	SBCK436	[{40010-2}] 陈思  {撰}
丞相魏公谭训	SBCK437	[{40010-1}] 苏象先  {撰}
南村辍耕录	SBCK438	[{40013}] 陶宗义  {撰}
景德传灯录	SBCK439	[{40010-1}] 释道原  {撰}
文始真经	SBCK440	[{40000}] 尹喜  {撰}
通玄真经注	SBCK441	[{40008}] 徐灵府  {撰}
新雕洞灵真经	SBCK442	[{40008}] 王士元  {撰}、[{40010}] 何粲  {注}
皇甫冉诗集	SBCK443	[{40008}] 皇甫冉  {撰}、[{40008}] 皇甫曾  {撰}
梨岳诗集	SBCK444	[{40008}] 李频  {撰}
新雕注胡曾咏史诗	SBCK445	[{40008}] 胡曾  {撰}
徐寅集	SBCK446	[{40008}] 徐寅  {著}
忠愍公诗集	SBCK447	[{40010-1}] 寇准  {撰}
镡津集	SBCK448	[{40010-1}] 释契嵩  {撰}
参寥子诗集	SBCK449	[{40010-1}] 释道潜  {撰}
沈氏三先生文集	SBCK450	[{40010-1}] 沈遘  {撰}
眉山唐先生集	SBCK451	[{40010-1}] 唐庚  {撰}
华阳集	SBCK452	[{40010}] 张纲  {撰}
颐堂先生文集	SBCK453	[{40010-2}] 王灼  {撰}
默堂先生文集	SBCK454	[{40010-2}] 陈渊  {撰}
翠微南征录	SBCK455	[{40010-2}] 华岳  {撰}
黄仲元集	SBCK456	[{40010-2}] 黄仲元  {著}
吾汶稿	SBCK457	[{40010-2}] 王炎午  {撰}
龟巢稿	SBCK458	[{40013}] 谢应芳  {撰}
夷白斋稿	SBCK459	[{40013}] 陈基  {撰}
蚁术诗选	SBCK460	[{40013}] 邵亨贞  {撰}
蚁术词选	SBCK461	[{40013}] 邵亨贞  {撰}
密庵诗稿	SBCK462	[{40014}] 谢肃  {撰}
眉庵集	SBCK463	[{40014}] 杨基  {撰}
静居集	SBCK464	[{40014}] 张羽  {撰}
北郭集	SBCK465	[{40014}] 徐贲  {撰}
蚓窍集	SBCK466	[{40014}] 管时敏  {撰}
白沙子	SBCK467	[{40014}] 陈献章  {撰}
居易堂集	SBCK468	[{40015}] 徐枋  {撰}
窦氏联珠集	SBCK469	[{40008}] 窦常  {撰}、[{40008}] 褚藏言  {辑}
山谷琴趣外篇	SBCK470	[{40010-1}] 黄庭坚  {著}、[{40015}] 张元济  {著}
虚斋乐府	SBCK471	[{40010-2}] 赵以夫  {著}
梨园按试乐府新声	SBCK472	[{40013}] 卢前  {撰}
